globalid,name,address,latitude,longitude,restroom_open_status,advertised_hours,ada_accessible,gender_neutral,baby_changing,showers,menstrual_products,category,operated_by,restroom_assessed,restroom_assessment_date,public_buildings,outdoor_facilities,government_facilities,commercial,transportation_mts,other,notes,timestamp,place_id,action,researcher_name,audit_datetime,restroom_name,open_when_visited,access_method,findability,showers_available,water_refill_nearby,visible_signage,security_cameras,access_barriers,overall_impressions,outside_context,approved
5b88f306-63fc-40c3-97e3-56eddb449d4a,Palomar Mountain State Park Doane Valley Campground,"19952 State Park Drive, Palomar Mountain, CA 92060",33.34360741,-116.9017966,,"Dawn to Dusk, daily",,,,,,,State of CA,,,,,,,,,,,,,,,,,,,,,,,,,,
7e1c1af9-2785-4691-bea8-ee6b995002e1,Palomar Mountain State Park Silver Crest Picnic Area,"19952 State Park Rd, Palomar Mountain, CA 92060",33.33214393,-116.9068117,,"Dawn to Dusk, daily",,,,,,,State of CA,,,,,,,,,,,,,,,,,,,,,,,,,,
053036c6-6eff-4fc5-a485-8322f072e3c8,San Dieguito (Upper Playground),"1628 Lomas Santa Fe Dr, Del Mar, CA 92014",32.999187,-117.237838,,Unknown,,,,,,,San Diego County,,,,,,,,,,,,,,,,,,,,,,,,,,
89074cce-3c2d-419d-87de-843c230ddd9a,San Elijo State Beach (Lizst Ave),"2050 S Coast Hwy 101, Cardiff, CA 92007",33.02699014,-117.2874729,,"Dawn to Sunset, daily",,,,,,,CA State Parks,,,,,,,,,,,,,,,,,,,,,,,,,,
fbadc096-64bf-4930-b835-09d8d280ecbd,San Elijo State Beach (Tower 16),"2050 S Coast Hwy 101, Cardiff, CA 92007",33.01731285,-117.2821926,,"Dawn to Sunset, daily",,,,,,,CA State Parks,,,,,,,,,,,,,,,,,,,,,,,,,,
fe185493-244f-4f25-bf44-fb2bb20dd238,Thrive Park,"2101 Stadium Wy, San Diego, CA 92108",32.78542054,-117.1241157,,,,,0,0,0,2,City of San Diego,,,,1,,,,,,,,,,,,,,,,,,,,,,
4dad0700-1fbd-4c4b-a605-0979de39791d,Tierrasanta Hex Building,"11220 Clairemont Mesa Blvd, San Diego, CA 92124",32.83042543,-117.0879548,,Sun 9:00am - 4:00pm; Mon 11:00am - 8:00pm; Tues 10:00am - 8:00pm; Wed 11:30am - 8:30pm; Thurs 10:00am - 8:00pm; Fri 12:00pm - 8:00pm; Sat 9:00am - 4:00pm,,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
9862cead-f34d-4d76-9fe3-e474bc661fde,Children's Park,"326 W Harbor Dr, San Diego, CA 92101",32.70996847,-117.1643507,1,Guard present 24/7 but bathroom closes at10:00pm,1,1,1,0,0,2,City of San Diego,1,2026-04-19 10:30,,1,,,,,,2026-04-19T17:32:29.557Z,9862cead-f34d-4d76-9fe3-e474bc661fde,update,Elise & Ariana,2026-04-19 10:30,Children's Park,Yes,Accessed from outside the building,Somewhat visible,No,Yes,Yes,No,New change from the previous: No showers,,,TRUE
94199d02-3914-40ea-9207-ad6c6897a4df,Kit Carson Ray Love Tennis Center,"3333 Bear Valley Pkwy, Escondido, CA 92025",33.07638647,-117.0609709,1,Sunrise - Sunset,1,0,0,1,0,2,City of Escondido,3,,,1,,,,,,,,,,,,,,,,,,,,,,
97afd105-8e25-4ed1-92a0-f73b11955ae4,Loma Verde Aquatic Center,"1420 Loma Ln, Chula Vista, CA 91911",32.60273879,-117.0487774,,Mon - Fri 10:00am - 12:00pm; 4:00pm - 7:00pm,,,,,,1,City of Chula Vista,,,,,,,,,,,,,,,,,,,,,,,,,,
c5ca3932-226d-4235-87ac-2dc552cf2a1c,Imperial Beach Sports Park,"425 Imperial Beach Blvd, Imperial Beach, CA 91932",32.57536854,-117.1241139,1,"8a-Sunset, daily",1,0,0,0,0,2,City of Imperial Beach,1,,,1,,,,,,,,,,,,,,,,,,,,,,
23eb41e0-5940-40c1-9c0d-713bae2e9a2b,Old Town Mason Street,"3966 Mason St, San Diego, CA 92110",32.75360987,-117.1968153,1,10:00am - 5:00pm,1,0,0,0,0,2,City of San Diego & CA state parks,3,,,1,,,,,,,,,,,,,,,,,,,,,,
,Legion Park - W 5th Street,"445 W 5th St, Calexico, CA 92231",32.67047748,-115.5031189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adrian C. Cordova Park,"1379-1391 Meadows Dr, Calexico, CA 92231",32.69105675,-115.4688485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rookwood Plaza,"E 5th St & Mary Ave, Calexico, CA 92231",32.67053042,-115.4927634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nosotros Little League Park,"992 Calexico St, Calexico, CA 92231",32.67302374,-115.5185385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Las Casitas Park,"600 J M Ostrey St, Calexico, CA 92231",32.68350347,-115.5105597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crummet Park,"850 Encinas Ave, Calexico, CA 92231",32.67525259,-115.4871192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calexico City Library,"850 Encinas Ave, Calexico, CA 92231",32.67527541,-115.4876547,,M-Th 10:00 a.m. to 8:00 p.m.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Community Center Park,"058-375-004, Calexico, CA 92231",32.67256799,-115.4864279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daniel V. Guitierrez Community Soccer Field,"989 Andrade Ave, Calexico, CA 92231",32.67635102,-115.4817078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,John F. Kennedy Park,"2001-2015 C.N.Perry Ave, Calexico, CA 92231",32.68769712,-115.4926934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a0a0e224-e981-529b-a020-c88482c17855,Student Union 2nd Floor Hallway,Right next to Metztli and Aztlan Suites,32.77336,-117.069849,1,“Normal Business Hours”,1,1,,0,1,,,1,2026-02-05 16:11,,,,,,,SDSU has signs outside of the renovated bathrooms on the first floor pointing students to this location with “ Hallway outside of Metzli & Aztlan Mtg Rooms”,2026-02-06T00:16:55.218Z,a0a0e224-e981-529b-a020-c88482c17855,new,Erin Petersen,2026-02-05 16:11,Student Union 2nd Floor Hallway,Yes,Accessed from inside the building,Somewhat hard to find,No,No,Yes,No,"It’s a little tucked away in the hallway, and while there’s a sign in the hallway itself, it can be hard to find if you don’t already know where the suites are.","It’s very clean, with menstrual products and a large mirror, but the lights are a little dim.","It’s only busy when meetings are happening in the suites, and was very quiet and empty when I went.",TRUE
